Date,Close/Last,Volume,Open,High,Low,sentiment
2015-01-02,14.6207,71298549,14.858,14.8833,14.2173,0.1149378378378378
2015-01-05,14.006,80332235,14.3033,14.4333,13.8108,0.1262130044843049
2015-01-06,14.0853,93864718,14.004,14.28,13.614,0.0948702702702702
2015-01-07,14.0633,44479928,14.2233,14.3187,13.9853,0.0626640625
2015-01-08,14.041,51523489,14.1873,14.2533,14.0007,0.0967132978723404
2015-01-09,13.7773,68869616,13.928,13.9987,13.664,0.0724668292682926
2015-01-12,13.4807,89184060,13.5367,13.6313,13.2833,0.0641744252873563
2015-01-13,13.6167,63715528,13.5547,13.8407,13.3941,0.0403225508317929
2015-01-14,12.846,172745014,12.3887,13.0133,12.3333,0.0333894875164257
2015-01-15,12.7913,78071616,12.966,13.05,12.6667,0.0860121621621621
2015-01-16,12.8713,53862798,12.7133,12.966,12.6433,0.053829596412556
2015-01-20,12.7953,67360181,12.9247,12.9413,12.4693,0.0674154185022026
2015-01-21,13.1047,62161784,12.6367,13.2453,12.634,0.124584188034188
2015-01-22,13.4413,61556264,13.1333,13.5493,13.0133,0.0903957831325301
2015-01-23,13.4193,51615754,13.3527,13.5667,13.222,0.0669342391304348
2015-01-26,13.77,48466791,13.4553,13.908,13.4033,0.1081
2015-01-27,13.732,41668869,13.628,13.8687,13.5533,0.0690117647058823
2015-01-28,13.2913,47092191,13.7407,13.7579,13.228,0.0771183544303797
2015-01-29,13.68,53138628,13.4047,13.732,13.1,0.1401781094527363
2015-01-30,13.5733,45018997,13.5973,13.8313,13.5333,0.0835409937888198
2015-02-02,14.0627,62157719,13.598,14.13,13.5533,0.0929679611650485
2015-02-03,14.5573,72237474,14.2147,14.6913,14.0847,0.1514409302325581
2015-02-04,14.57,49566230,14.5527,14.7653,14.4533,0.0935119205298013
2015-02-05,14.7327,52774714,14.6587,15.032,14.6425,0.079180473372781
2015-02-06,14.4907,48537816,14.8,14.8933,14.4333,0.0761671568627451
2015-02-09,14.4987,52046614,14.3587,14.5287,14.1327,0.0777319672131147
2015-02-10,14.4193,80232890,14.5033,14.7,14.3333,0.0343864485981308
2015-02-11,14.1867,135796177,14.1473,14.316,13.8187,0.0143070945945945
2015-02-12,13.5253,234402333,12.9047,13.5392,12.8853,0.0591421747328724
2015-02-13,13.5847,92223059,13.5267,13.7327,13.394,0.0442282258064516
2015-02-17,13.6233,59468295,13.7133,13.7133,13.4333,0.0801530612244898
2015-02-18,13.6307,40663450,13.6113,13.7447,13.5067,0.04384
2015-02-19,14.1137,77058006,13.6667,14.1627,13.5833,0.0635795013850415
2015-02-20,14.474,89675595,14.052,14.5067,13.9873,0.1008261096605744
2015-02-23,13.8223,127306901,14.3773,14.5467,13.7553,0.0595299684542586
2015-02-24,13.6073,98809421,13.8193,13.8193,13.4467,0.135221021021021
2015-02-25,13.584,58612546,13.6627,13.8093,13.5053,0.0314375478927203
2015-02-26,13.8127,97020251,13.6,14.0727,13.4813,0.0779951807228915
2015-02-27,13.556,58070926,13.7933,13.9033,13.52,0.0319640625
2015-03-02,13.155,118655971,13.5133,13.556,13.055,0.002351081081081
2015-03-03,13.304,66461967,13.1207,13.3496,13.0213,0.0565162790697674
2015-03-04,13.4957,63228793,13.2833,13.5013,13.1473,0.0262116363636363
2015-03-05,13.3753,73051928,13.5233,13.746,13.3433,0.0440242105263157
2015-03-06,12.9253,100581715,13.2807,13.3833,12.8101,0.0176751655629139
2015-03-09,12.7253,100987615,12.9593,12.966,12.55,-0.0103829931972789
2015-03-10,12.688,83085573,12.564,12.9,12.5067,0.0612713864306784
2015-03-11,12.916,74526053,12.7433,13.0787,12.734,0.0788969387755102
2015-03-12,12.738,62096504,12.9167,12.9633,12.65,0.0290190677966101
2015-03-13,12.5787,81319354,12.5967,12.7833,12.488,0.0723491228070175
2015-03-16,13.0467,84255378,12.8,13.0607,12.6533,0.0763392785571142
2015-03-17,12.982,73353938,13.0287,13.2473,12.9293,0.0987153256704981
2015-03-18,13.3807,71953059,12.9973,13.392,12.874,0.0977714285714285
2015-03-19,13.0433,127032626,13.4667,13.6393,12.9687,0.0873476648351648
2015-03-20,13.2053,63751108,13.1633,13.266,13.0414,0.081616304347826
2015-03-23,13.3087,39337360,13.2333,13.3667,13.1647,0.0605777777777777
2015-03-24,13.448,54612963,13.4387,13.586,13.3167,0.0746817351598173
2015-03-25,12.9533,85823687,13.218,13.2393,12.8467,0.0719612179487179
2015-03-26,12.6937,61802729,12.928,12.986,12.6467,0.0968385365853658
2015-03-27,12.3333,128948381,12.6047,12.6193,12.0933,0.068053164556962
2015-03-30,12.7047,150934575,12.39,12.8167,12.12,0.1237108043217286
2015-03-31,12.5847,75269212,12.902,12.9173,12.5607,0.09720022172949
2015-04-01,12.506,56872157,12.58,12.82,12.4033,0.0195569696969696
2015-04-02,12.7333,75071092,12.682,12.882,12.6667,0.0913619760479041
2015-04-06,13.54,186341457,13.2,13.85,13.1667,0.092922
2015-04-07,13.55,65104392,13.5007,13.6707,13.4093,0.0765617424242424
2015-04-08,13.8447,94195648,13.88,14.06,13.7247,0.0687451923076923
2015-04-09,14.006,56697767,13.8953,14.0247,13.7413,0.0657045774647887
2015-04-10,14.06,60312720,13.99,14.11,13.9333,0.0648024630541871
2015-04-13,13.9853,56358272,14.029,14.2,13.9367,-0.0284331491712707
2015-04-14,13.8307,45286282,13.9047,13.966,13.7,0.0719578544061302
2015-04-15,13.8553,29157015,13.8307,13.9727,13.7733,0.0263531428571428
2015-04-16,13.78,24855258,13.8467,13.9447,13.7527,0.044445
2015-04-17,13.786,36983247,13.666,13.792,13.5667,0.0086187499999999
2015-04-20,13.6847,38383676,13.7853,13.8567,13.59,0.0117026217228464
2015-04-21,13.9607,51242629,13.72,14.05,13.6207,0.053703086419753
2015-04-22,14.6293,117832636,14.1667,14.792,14.1127,0.1094671848013816
2015-04-23,14.5733,66125727,14.5513,14.7653,14.4767,0.0942705660377358
2015-04-24,14.5617,36395322,14.7,14.72,14.534,0.1244908045977011
2015-04-27,15.4367,174886413,14.8373,15.9167,14.8,0.1312573189522342
2015-04-28,15.3653,91202624,15.65,15.7,15.202,0.0665248484848484
2015-04-29,15.4967,58969276,15.3367,15.6647,15.1753,0.0615665454545454
2015-04-30,15.07,58383421,15.3593,15.526,15.0113,0.1103592920353982
2015-05-01,15.0687,79153820,15.3293,15.4513,14.6937,0.118180673076923
2015-05-04,15.3673,66408852,15.212,15.6487,15.1407,0.0798824120603015
2015-05-05,15.53,86740922,15.8507,15.9667,15.2753,0.1114786259541984
2015-05-06,15.362,76256602,15.6067,15.6313,15.2133,0.0733668817204301
2015-05-07,15.7867,141598459,14.7333,15.832,14.6833,0.096273241590214
2015-05-08,15.774,69981640,15.7327,15.894,15.58,0.0411024390243902
2015-05-11,15.966,84956958,15.7527,16.192,15.6873,0.0674945244956772
2015-05-12,16.316,95186907,16.0073,16.4233,15.8793,0.1265930232558139
2015-05-13,16.212,81490294,16.5073,16.5533,16.15,0.1093692307692307
2015-05-14,16.2733,42706224,16.3213,16.326,16.0833,0.0952279883381924
2015-05-15,16.5893,67790021,16.262,16.6267,16.1667,0.0945245125348189
2015-05-18,16.5833,50248940,16.4667,16.66,16.4,-0.0269977667493796
2015-05-19,16.476,55022957,16.562,16.7333,16.41,0.0278
2015-05-20,16.29,56242157,16.4753,16.516,16.0915,0.0810639053254437
2015-05-21,16.3747,29498490,16.202,16.4413,16.1572,0.0744057401812688
2015-05-22,16.5153,33289618,16.3587,16.5733,16.334,0.0435728
2015-05-26,16.497,52364914,16.512,16.8,16.4333,0.0798411111111111
2015-05-27,16.4953,51059794,16.5673,16.6333,16.37,0.1027173228346456
2015-05-28,16.7633,54690918,16.4687,16.7867,16.3367,0.1400327077747989
2015-05-29,16.72,56776652,16.7333,16.8579,16.6287,0.1150768976897689
2015-06-01,16.63,37533551,16.7607,16.7733,16.498,0.1242919540229885
2015-06-02,16.5567,31941554,16.5947,16.6267,16.42,0.0850710638297872
2015-06-03,16.5993,26671517,16.5467,16.7147,16.4673,0.059807296137339
2015-06-04,16.3947,36383802,16.5,16.62,16.3807,0.1014638888888888
2015-06-05,16.6093,45297532,16.4,16.6467,16.3787,0.0983786163522012
2015-06-08,17.086,75104122,16.7233,17.25,16.6873,0.1423437632135306
2015-06-09,17.0667,38940866,17.0267,17.1827,16.9427,0.0728592105263157
2015-06-10,16.7133,51789439,16.7933,16.9333,16.5667,0.0845853333333333
2015-06-11,16.7607,30614580,16.884,16.958,16.6953,0.0789903846153846
2015-06-12,16.7127,21276844,16.6807,16.8973,16.6807,-0.0079103053435114
2015-06-15,16.692,32743964,16.6467,16.752,16.4007,0.0408538461538461
2015-06-16,16.8747,29713755,16.6753,16.896,16.6063,0.1771705179282868
2015-06-17,17.3607,82508359,16.8113,17.624,16.8013,0.1525686131386861
2015-06-18,17.4593,41721594,17.4667,17.564,17.3347,0.091632507739938
2015-06-19,17.5007,36883482,17.4933,17.5867,17.34,0.1384190661478599
2015-06-22,17.3193,68386046,17.4767,17.6267,17.046,0.0612525
2015-06-23,17.8447,57969001,17.3547,17.8667,17.238,0.1202844236760124
